name	id	nametype	recclass	mass (g)	fall	year	reclat	reclong	GeoLocation	Latitude	Longitude				
Dhofar 1657	55575	Valid	H6	883	Found	1/1/11 0:00	18.36015	54.39437		18.36015	54.39437	0.883	"18.36015,54.39437,0.883,"	"18.36015,54.39437,883,"	
Dhofar 1658	55576	Valid	LL6	3150	Found	1/1/11 0:00	18.35967	54.40705		18.35967	54.40705	3.15	"18.35967,54.40705,3.15,"	"18.35967,54.40705,3150,"	
Dhofar 1659	55577	Valid	L6	3695	Found	1/1/11 0:00	18.36002	54.40972		18.36002	54.40972	3.695	"18.36002,54.40972,3.695,"	"18.36002,54.40972,3695,"	
Dhofar 1660	55578	Valid	L6	256	Found	1/1/11 0:00	18.88617	54.46905		18.88617	54.46905	0.256	"18.88617,54.46905,0.256,"	"18.88617,54.46905,256,"	
Dhofar 1661	55579	Valid	H6	63	Found	1/1/11 0:00	18.9914	54.68027		18.9914	54.68027	0.063	"18.9914,54.68027,0.063,"	"18.9914,54.68027,63,"	
Dhofar 1662	55580	Valid	H6	545	Found	1/1/11 0:00	19.1052	54.80602		19.1052	54.80602	0.545	"19.1052,54.80602,0.545,"	"19.1052,54.80602,545,"	
Dhofar 1663	55581	Valid	H5	422	Found	1/1/11 0:00	19.13905	54.87353		19.13905	54.87353	0.422	"19.13905,54.87353,0.422,"	"19.13905,54.87353,422,"	
Dhofar 1664	55582	Valid	H6	2266	Found	1/1/11 0:00	19.179	54.93267		19.179	54.93267	2.266	"19.179,54.93267,2.266,"	"19.179,54.93267,2266,"	
Dhofar 1665	56380	Valid	L3	3687	Found	1/1/11 0:00	19.17277	54.92233		19.17277	54.92233	3.687	"19.17277,54.92233,3.687,"	"19.17277,54.92233,3687,"	
Dhofar 1666	56381	Valid	L4	1300	Found	1/1/11 0:00	19.18085	54.9247		19.18085	54.9247	1.3	"19.18085,54.9247,1.3,"	"19.18085,54.9247,1300,"	
Dhofar 1668	55603	Valid	Martian (shergottite)	6.1	Found	1/1/11 0:00	18.322	54.148		18.322	54.148	0.0061	"18.322,54.148,0.0061,"	"18.322,54.148,6.1,"	
Dhofar 1670	56096	Valid	H4	590.1	Found	1/1/11 0:00	18.53958	54.57358		18.53958	54.57358	0.5901	"18.53958,54.57358,0.5901,"	"18.53958,54.57358,590.1,"	
Dhofar 1671	56105	Valid	CV3	40.8	Found	1/1/11 0:00	18.86958	54.22956		18.86958	54.22956	0.0408	"18.86958,54.22956,0.0407999999999999,"	"18.86958,54.22956,40.7999999999999,"	
Dhofar 1672	56097	Valid	L4	7.49	Found	1/1/11 0:00	18.73244	54.37936		18.73244	54.37936	0.00749	"18.73244,54.37936,0.00749,"	"18.73244,54.37936,7.49,"	
Dhofar 1673	56106	Valid	Lunar (feldsp. breccia)	15.1	Found	1/1/11 0:00	18.71122	54.160306		18.71122	54.160306	0.0151	"18.71122,54.160306,0.0151,"	"18.71122,54.160306,15.1,"	
Dhofar 1676	56182	Valid	H4	13.23	Found	1/1/11 0:00	19.43382	54.69043		19.43382	54.69043	0.01323	"19.43382,54.69043,0.01323,"	"19.43382,54.69043,13.23,"	
Dhofar 1677	56183	Valid	H5	4388	Found	1/1/11 0:00	19.36518	54.51565		19.36518	54.51565	4.388	"19.36518,54.51565,4.388,"	"19.36518,54.51565,4388,"	
Dhofar 1678	56184	Valid	H6	13.02	Found	1/1/11 0:00	19.36222	54.51893		19.36222	54.51893	0.01302	"19.36222,54.51893,0.01302,"	"19.36222,54.51893,13.02,"	
Dhofar 1679	56185	Valid	H4	184.3	Found	1/1/11 0:00	19.37243	54.52335		19.37243	54.52335	0.1843	"19.37243,54.52335,0.1843,"	"19.37243,54.52335,184.3,"	
Dhofar 1680	56186	Valid	H4	29.2	Found	1/1/11 0:00	19.26465	54.49753		19.26465	54.49753	0.0292	"19.26465,54.49753,0.0292,"	"19.26465,54.49753,29.2,"	
Dhofar 1681	56187	Valid	H5	153	Found	1/1/11 0:00	19.2701	54.49733		19.2701	54.49733	0.153	"19.2701,54.49733,0.153,"	"19.2701,54.49733,153,"	
Dhofar 1682	56188	Valid	L6	9.22	Found	1/1/11 0:00	19.6457	54.24753		19.6457	54.24753	0.00922	"19.6457,54.24753,0.00922,"	"19.6457,54.24753,9.22,"	
Dhofar 1683	56189	Valid	H5	318.6	Found	1/1/11 0:00	19.65395	54.2377		19.65395	54.2377	0.3186	"19.65395,54.2377,0.3186,"	"19.65395,54.2377,318.6,"	
Dhofar 1684	56190	Valid	H5	199.9	Found	1/1/11 0:00	19.61972	54.14843		19.61972	54.14843	0.1999	"19.61972,54.14843,0.1999,"	"19.61972,54.14843,199.9,"	
Dhofar 1685	56191	Valid	H5	769.3	Found	1/1/11 0:00	19.61977	54.14807		19.61977	54.14807	0.7693	"19.61977,54.14807,0.7693,"	"19.61977,54.14807,769.3,"	
Dhofar 1686	56192	Valid	H4	188.6	Found	1/1/11 0:00	19.55838	54.12582		19.55838	54.12582	0.1886	"19.55838,54.12582,0.1886,"	"19.55838,54.12582,188.6,"	
Dhofar 1687	56193	Valid	L6	394.6	Found	1/1/11 0:00	18.0901	54.08788		18.0901	54.08788	0.3946	"18.0901,54.08788,0.3946,"	"18.0901,54.08788,394.6,"	
