name	id	nametype	recclass	mass (g)	fall	year	reclat	reclong	GeoLocation	Latitude	Longitude				
El Médano 112	56658	Valid	H5	23	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.023	"-24.85,-70.53333,0.023,"	"-24.85,-70.53333,23,"	
El Médano 113	56659	Valid	L6	37	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.037	"-24.85,-70.53333,0.037,"	"-24.85,-70.53333,37,"	
El Médano 114	56660	Valid	H5	24.4	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0244	"-24.85,-70.53333,0.0244,"	"-24.85,-70.53333,24.4,"	
El Médano 115	56661	Valid	H5	84	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.084	"-24.85,-70.53333,0.084,"	"-24.85,-70.53333,84,"	
El Médano 116	56662	Valid	H6	46	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.046	"-24.85,-70.53333,0.046,"	"-24.85,-70.53333,46,"	
El Médano 117	56663	Valid	L6	52	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.052	"-24.85,-70.53333,0.052,"	"-24.85,-70.53333,52,"	
El Médano 118	56664	Valid	H5	161	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.161	"-24.85,-70.53333,0.161,"	"-24.85,-70.53333,161,"	
El Médano 120	56666	Valid	H5	24.2	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0242	"-24.85,-70.53333,0.0242,"	"-24.85,-70.53333,24.2,"	
El Médano 121	56667	Valid	H5	333	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.333	"-24.85,-70.53333,0.333,"	"-24.85,-70.53333,333,"	
El Médano 122	56668	Valid	L5/6	55	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.055	"-24.85,-70.53333,0.055,"	"-24.85,-70.53333,55,"	
El Médano 123	56669	Valid	H5	22.1	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0221	"-24.85,-70.53333,0.0221,"	"-24.85,-70.53333,22.1,"	
El Médano 124	56670	Valid	H5	39	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.039	"-24.85,-70.53333,0.039,"	"-24.85,-70.53333,39,"	
El Médano 125	56690	Valid	L6	93	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.093	"-24.85,-70.53333,0.093,"	"-24.85,-70.53333,93,"	
El Médano 126	56691	Valid	H5	584	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.584	"-24.85,-70.53333,0.584,"	"-24.85,-70.53333,584,"	
El Médano 127	56692	Valid	H5	130	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.13	"-24.85,-70.53333,0.13,"	"-24.85,-70.53333,130,"	
El Médano 128	56693	Valid	L6	556	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.556	"-24.85,-70.53333,0.556,"	"-24.85,-70.53333,556,"	
El Médano 129	56694	Valid	L6	27.8	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0278	"-24.85,-70.53333,0.0278,"	"-24.85,-70.53333,27.8,"	
El Médano 130	56695	Valid	L6	43.6	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0436	"-24.85,-70.53333,0.0436,"	"-24.85,-70.53333,43.6,"	
El Médano 131	56696	Valid	H4	106	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.106	"-24.85,-70.53333,0.106,"	"-24.85,-70.53333,106,"	
El Médano 132	56697	Valid	H4	670	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.67	"-24.85,-70.53333,0.67,"	"-24.85,-70.53333,670,"	
El Médano 133	56698	Valid	LL6	397	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.397	"-24.85,-70.53333,0.397,"	"-24.85,-70.53333,397,"	
El Médano 134	56699	Valid	H5	20.5	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0205	"-24.85,-70.53333,0.0205,"	"-24.85,-70.53333,20.5,"	
El Médano 135	56700	Valid	L6	71	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.071	"-24.85,-70.53333,0.071,"	"-24.85,-70.53333,71,"	
El Médano 136	56701	Valid	L5	57	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.057	"-24.85,-70.53333,0.057,"	"-24.85,-70.53333,57,"	
El Médano 137	56702	Valid	H5	37	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.037	"-24.85,-70.53333,0.037,"	"-24.85,-70.53333,37,"	
El Médano 138	56703	Valid	L6	17.9	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0179	"-24.85,-70.53333,0.0178999999999999,"	"-24.85,-70.53333,17.8999999999999,"	
El Médano 139	56704	Valid	H5	11.3	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0113	"-24.85,-70.53333,0.0113,"	"-24.85,-70.53333,11.3,"	
El Médano 140	56705	Valid	H4/5	11.5	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0115	"-24.85,-70.53333,0.0115,"	"-24.85,-70.53333,11.5,"	
El Médano 141	56706	Valid	L6	752	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.752	"-24.85,-70.53333,0.752,"	"-24.85,-70.53333,752,"	
El Médano 142	56717	Valid	L6	20.5	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0205	"-24.85,-70.53333,0.0205,"	"-24.85,-70.53333,20.5,"	
El Médano 143	56707	Valid	H4	59	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.059	"-24.85,-70.53333,0.059,"	"-24.85,-70.53333,59,"	
El Médano 144	56708	Valid	L4	87	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.087	"-24.85,-70.53333,0.087,"	"-24.85,-70.53333,87,"	
El Médano 145	56709	Valid	H5	20.4	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0204	"-24.85,-70.53333,0.0203999999999999,"	"-24.85,-70.53333,20.3999999999999,"	
El Médano 146	56710	Valid	H4	10.9	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0109	"-24.85,-70.53333,0.0109,"	"-24.85,-70.53333,10.9,"	
El Médano 147	56711	Valid	L6	19.9	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0199	"-24.85,-70.53333,0.0198999999999999,"	"-24.85,-70.53333,19.8999999999999,"	
El Médano 148	56712	Valid	H5	298	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.298	"-24.85,-70.53333,0.298,"	"-24.85,-70.53333,298,"	
El Médano 149	56713	Valid	H5	99	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.099	"-24.85,-70.53333,0.099,"	"-24.85,-70.53333,99,"	
El Médano 150	56714	Valid	L6	56	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.056	"-24.85,-70.53333,0.056,"	"-24.85,-70.53333,56,"	
El Médano 151	56715	Valid	H4	12.6	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0126	"-24.85,-70.53333,0.0126,"	"-24.85,-70.53333,12.6,"	
El Médano 152	56716	Valid	H4	45	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.045	"-24.85,-70.53333,0.045,"	"-24.85,-70.53333,45,"	
El Médano 154	57187	Valid	L6	1047	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	1.047	"-24.85,-70.53333,1.047,"	"-24.85,-70.53333,1047,"	
El Médano 155	57188	Valid	H6	517	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.517	"-24.85,-70.53333,0.517,"	"-24.85,-70.53333,517,"	
El Médano 156	57189	Valid	L6	161	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.161	"-24.85,-70.53333,0.161,"	"-24.85,-70.53333,161,"	
El Médano 157	57190	Valid	H4	620	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.62	"-24.85,-70.53333,0.62,"	"-24.85,-70.53333,620,"	
El Médano 158	57306	Valid	H4	38	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.038	"-24.85,-70.53333,0.038,"	"-24.85,-70.53333,38,"	
El Médano 159	57307	Valid	L6	12.3	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0123	"-24.85,-70.53333,0.0123,"	"-24.85,-70.53333,12.3,"	
El Médano 160	57308	Valid	H6	88	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.088	"-24.85,-70.53333,0.088,"	"-24.85,-70.53333,88,"	
El Médano 161	57309	Valid	H5	91	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.091	"-24.85,-70.53333,0.091,"	"-24.85,-70.53333,91,"	
El Médano 162	57310	Valid	L4	147	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.147	"-24.85,-70.53333,0.147,"	"-24.85,-70.53333,147,"	
El Médano 163	57311	Valid	L6	20.4	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0204	"-24.85,-70.53333,0.0203999999999999,"	"-24.85,-70.53333,20.3999999999999,"	
El Médano 164	57312	Valid	H5	282	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.282	"-24.85,-70.53333,0.282,"	"-24.85,-70.53333,282,"	
El Médano 165	57313	Valid	L6	53	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.053	"-24.85,-70.53333,0.053,"	"-24.85,-70.53333,53,"	
El Médano 166	57314	Valid	L5	42	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.042	"-24.85,-70.53333,0.042,"	"-24.85,-70.53333,42,"	
El Médano 167	57315	Valid	H4	163	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.163	"-24.85,-70.53333,0.163,"	"-24.85,-70.53333,163,"	
El Médano 168	57316	Valid	L6	6.7	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.0067	"-24.85,-70.53333,0.0067,"	"-24.85,-70.53333,6.7,"	
El Médano 169	57317	Valid	L6	228	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.228	"-24.85,-70.53333,0.228,"	"-24.85,-70.53333,228,"	
El Médano 170	57318	Valid	L4	3893	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	3.893	"-24.85,-70.53333,3.893,"	"-24.85,-70.53333,3893,"	
El Médano 171	57319	Valid	H~5	1821	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	1.821	"-24.85,-70.53333,1.821,"	"-24.85,-70.53333,1821,"	
El Médano 172	57320	Valid	H~5	1097	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	1.097	"-24.85,-70.53333,1.097,"	"-24.85,-70.53333,1097,"	
El Médano 173	57321	Valid	L~6	448	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.448	"-24.85,-70.53333,0.448,"	"-24.85,-70.53333,448,"	
El Médano 174	57322	Valid	L~6	434	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.434	"-24.85,-70.53333,0.434,"	"-24.85,-70.53333,434,"	
El Médano 175	57323	Valid	L~6	147	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.147	"-24.85,-70.53333,0.147,"	"-24.85,-70.53333,147,"	
El Médano 176	57324	Valid	L6	64	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	0.064	"-24.85,-70.53333,0.064,"	"-24.85,-70.53333,64,"	
El Médano 177	57325	Valid	H~5	1198	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	1.198	"-24.85,-70.53333,1.198,"	"-24.85,-70.53333,1198,"	
El Médano 178	57326	Valid	H~5	5758	Found	1/1/11 0:00	-24.85	-70.53333		-24.85	-70.53333	5.758	"-24.85,-70.53333,5.758,"	"-24.85,-70.53333,5758,"	
El Mirage Dry Lake 004	54570	Valid	LL6	271	Found	1/1/11 0:00	34.65783	-117.59892		34.65783	-117.59892	0.271	"34.65783,-117.59892,0.271,"	"34.65783,-117.59892,271,"	
Frontier Mountain 10002	54799	Valid	H6	2.7	Found	1/1/11 0:00	-72.9529	160.47965		-72.9529	160.47965	0.0027	"-72.9529,160.47965,0.0027,"	"-72.9529,160.47965,2.7,"	
Frontier Mountain 10003	54844	Valid	L3	2.9	Found	1/1/11 0:00	-72.95268	160.48213		-72.95268	160.48213	0.0029	"-72.95268,160.48213,0.0029,"	"-72.95268,160.48213,2.9,"	
Frontier Mountain 10015	54800	Valid	H4	3.5	Found	1/1/11 0:00	-72.95215	160.50155		-72.95215	160.50155	0.0035	"-72.95215,160.50155,0.0035,"	"-72.95215,160.50155,3.5,"	
Frontier Mountain 10018	54801	Valid	H6	2.6	Found	1/1/11 0:00	-72.95205	160.4872		-72.95205	160.4872	0.0026	"-72.95205,160.4872,0.0026,"	"-72.95205,160.4872,2.6,"	
Frontier Mountain 10019	54802	Valid	H4	4.3	Found	1/1/11 0:00	-72.9523	160.5038		-72.9523	160.5038	0.0043	"-72.9523,160.5038,0.0043,"	"-72.9523,160.5038,4.3,"	
Frontier Mountain 10024	54803	Valid	H5	3.9	Found	1/1/11 0:00	-72.95202	160.50618		-72.95202	160.50618	0.0039	"-72.95202,160.50618,0.0039,"	"-72.95202,160.50618,3.9,"	
Frontier Mountain 10027	54804	Valid	H5	4	Found	1/1/11 0:00	-72.95202	160.50618		-72.95202	160.50618	0.004	"-72.95202,160.50618,0.004,"	"-72.95202,160.50618,4,"	
Frontier Mountain 10028	54845	Valid	H4	0.9	Found	1/1/11 0:00	-72.95243	160.49085		-72.95243	160.49085	0.0009	"-72.95243,160.49085,0.0009,"	"-72.95243,160.49085,0.9,"	
Frontier Mountain 10035	54805	Valid	H6	2.5	Found	1/1/11 0:00	-72.9519	160.51957		-72.9519	160.51957	0.0025	"-72.9519,160.51957,0.0025,"	"-72.9519,160.51957,2.5,"	
Frontier Mountain 10041	54806	Valid	H6	0.4	Found	1/1/11 0:00	-72.95235	160.48365		-72.95235	160.48365	0.0004	"-72.95235,160.48365,0.0004,"	"-72.95235,160.48365,0.4,"	
Frontier Mountain 10044	54846	Valid	H4	15.2	Found	1/1/11 0:00	-72.96418	160.51073		-72.96418	160.51073	0.0152	"-72.96418,160.51073,0.0152,"	"-72.96418,160.51073,15.2,"	
Frontier Mountain 10057	54847	Valid	H3	3	Found	1/1/11 0:00	-72.95183	160.50678		-72.95183	160.50678	0.003	"-72.95183,160.50678,0.003,"	"-72.95183,160.50678,3,"	
Frontier Mountain 10062	54807	Valid	L6	0.6	Found	1/1/11 0:00	-72.9505	160.4636		-72.9505	160.4636	0.0006	"-72.9505,160.4636,0.0006,"	"-72.9505,160.4636,0.6,"	
Frontier Mountain 10063	54877	Valid	Ureilite	13.1	Found	1/1/11 0:00	-72.95077	160.4584		-72.95077	160.4584	0.0131	"-72.95077,160.4584,0.0131,"	"-72.95077,160.4584,13.1,"	
Frontier Mountain 10066	54808	Valid	L6	1.9	Found	1/1/11 0:00	-72.95163	160.45017		-72.95163	160.45017	0.0019	"-72.95163,160.45017,0.0019,"	"-72.95163,160.45017,1.9,"	
Frontier Mountain 10069	54878	Valid	Ureilite	11.4	Found	1/1/11 0:00	-72.9533	160.44603		-72.9533	160.44603	0.0114	"-72.9533,160.44603,0.0114,"	"-72.9533,160.44603,11.4,"	
Frontier Mountain 10074	54809	Valid	H6	3.9	Found	1/1/11 0:00	-72.95212	160.46458		-72.95212	160.46458	0.0039	"-72.95212,160.46458,0.0039,"	"-72.95212,160.46458,3.9,"	
Frontier Mountain 10075	54810	Valid	H6	2.1	Found	1/1/11 0:00	-72.95212	160.46458		-72.95212	160.46458	0.0021	"-72.95212,160.46458,0.0021,"	"-72.95212,160.46458,2.1,"	
Frontier Mountain 10076	54811	Valid	H4	2.5	Found	1/1/11 0:00	-72.96663	160.52762		-72.96663	160.52762	0.0025	"-72.96663,160.52762,0.0025,"	"-72.96663,160.52762,2.5,"	
Frontier Mountain 10077	54812	Valid	H6	3.5	Found	1/1/11 0:00	-72.96663	160.52762		-72.96663	160.52762	0.0035	"-72.96663,160.52762,0.0035,"	"-72.96663,160.52762,3.5,"	
Frontier Mountain 10080	54813	Valid	L6	0.3	Found	1/1/11 0:00	-72.9524	160.5033		-72.9524	160.5033	0.0003	"-72.9524,160.5033,0.0003,"	"-72.9524,160.5033,0.3,"	
Frontier Mountain 10083	54879	Valid	LL3	5.9	Found	1/1/11 0:00	-72.95128	160.51542		-72.95128	160.51542	0.0059	"-72.95128,160.51542,0.0059,"	"-72.95128,160.51542,5.9,"	
Frontier Mountain 10084	54814	Valid	H5	1	Found	1/1/11 0:00	-72.95058	160.51718		-72.95058	160.51718	0.001	"-72.95058,160.51718,0.001,"	"-72.95058,160.51718,1,"	
Frontier Mountain 10086	54815	Valid	H6	4.7	Found	1/1/11 0:00	-72.95195	160.50757		-72.95195	160.50757	0.0047	"-72.95195,160.50757,0.0047,"	"-72.95195,160.50757,4.7,"	
Frontier Mountain 10087	54816	Valid	H6	2.4	Found	1/1/11 0:00	-72.95195	160.50757		-72.95195	160.50757	0.0024	"-72.95195,160.50757,0.0024,"	"-72.95195,160.50757,2.4,"	
Frontier Mountain 10091	54848	Valid	L5	4.8	Found	1/1/11 0:00	-72.9524	160.46983		-72.9524	160.46983	0.0048	"-72.9524,160.46983,0.0048,"	"-72.9524,160.46983,4.8,"	
Frontier Mountain 10092	54849	Valid	L4	2.1	Found	1/1/11 0:00	-72.96313	160.49992		-72.96313	160.49992	0.0021	"-72.96313,160.49992,0.0021,"	"-72.96313,160.49992,2.1,"	
Frontier Mountain 10097	54880	Valid	LL3	7.7	Found	1/1/11 0:00	-72.95285	160.48508		-72.95285	160.48508	0.0077	"-72.95285,160.48508,0.0077,"	"-72.95285,160.48508,7.7,"	
Frontier Mountain 10098	54881	Valid	LL3	2.1	Found	1/1/11 0:00	-72.95283	160.48513		-72.95283	160.48513	0.0021	"-72.95283,160.48513,0.0021,"	"-72.95283,160.48513,2.1,"	
Frontier Mountain 10101	54817	Valid	H5	1.2	Found	1/1/11 0:00	-72.95145	160.51087		-72.95145	160.51087	0.0012	"-72.95145,160.51087,0.0012,"	"-72.95145,160.51087,1.2,"	
Frontier Mountain 10102	54882	Valid	LL3	1.3	Found	1/1/11 0:00	-72.95137	160.46503		-72.95137	160.46503	0.0013	"-72.95137,160.46503,0.0013,"	"-72.95137,160.46503,1.3,"	
Frontier Mountain 10103	54818	Valid	H6	1.5	Found	1/1/11 0:00	-72.95158	160.46172		-72.95158	160.46172	0.0015	"-72.95158,160.46172,0.0015,"	"-72.95158,160.46172,1.5,"	
Frontier Mountain 10104	54819	Valid	H4	0.6	Found	1/1/11 0:00	-72.95193	160.4563		-72.95193	160.4563	0.0006	"-72.95193,160.4563,0.0006,"	"-72.95193,160.4563,0.6,"	
Frontier Mountain 10105	54820	Valid	L6	4.4	Found	1/1/11 0:00	-72.9543	160.42857		-72.9543	160.42857	0.0044	"-72.9543,160.42857,0.0044,"	"-72.9543,160.42857,4.4,"	
Frontier Mountain 10107	54821	Valid	H5	1.8	Found	1/1/11 0:00	-72.95305	160.45358		-72.95305	160.45358	0.0018	"-72.95305,160.45358,0.0018,"	"-72.95305,160.45358,1.8,"	
Frontier Mountain 10109	54822	Valid	H5	2.4	Found	1/1/11 0:00	-72.95293	160.45298		-72.95293	160.45298	0.0024	"-72.95293,160.45298,0.0024,"	"-72.95293,160.45298,2.4,"	
Griffith Wash	55289	Valid	L6	93	Found	1/1/11 0:00	35.06639	-114.0975		35.06639	-114.0975	0.093	"35.06639,-114.0975,0.093,"	"35.06639,-114.0975,93,"	
Jiddat al Harasis 641	53876	Valid	Ureilite	25.3	Found	1/1/11 0:00	19.00756	55.17469		19.00756	55.17469	0.0253	"19.00756,55.17469,0.0253,"	"19.00756,55.17469,25.3,"	
Jiddat al Harasis 654	55560	Valid	H4	80	Found	1/1/11 0:00	19.97092	56.4421		19.97092	56.4421	0.08	"19.97092,56.4421,0.08,"	"19.97092,56.4421,80,"	
Jiddat al Harasis 655	55563	Valid	L5	56	Found	1/1/11 0:00	19.82982	56.4428		19.82982	56.4428	0.056	"19.82982,56.4428,0.056,"	"19.82982,56.4428,56,"	
Jiddat al Harasis 656	55564	Valid	L6	1225	Found	1/1/11 0:00	19.65282	55.74852		19.65282	55.74852	1.225	"19.65282,55.74852,1.225,"	"19.65282,55.74852,1225,"	
Jiddat al Harasis 657	55583	Valid	L5	720	Found	1/1/11 0:00	19.7803	56.5026		19.7803	56.5026	0.72	"19.7803,56.5026,0.72,"	"19.7803,56.5026,720,"	
Jiddat al Harasis 659	56104	Valid	L3.6	2191.4	Found	1/1/11 0:00	19.95119	56.32686		19.95119	56.32686	2.1914	"19.95119,56.32686,2.1914,"	"19.95119,56.32686,2191.4,"	
Jiddat al Harasis 660	56215	Valid	L4	390.8	Found	1/1/11 0:00	19.6973	56.706		19.6973	56.706	0.3908	"19.6973,56.706,0.3908,"	"19.6973,56.706,390.8,"	
Jiddat al Harasis 661	56216	Valid	L5	516.1	Found	1/1/11 0:00	19.8924	56.66768		19.8924	56.66768	0.5161	"19.8924,56.66768,0.5161,"	"19.8924,56.66768,516.1,"	
Jiddat al Harasis 662	56217	Valid	H6	548.7	Found	1/1/11 0:00	19.90538	56.6547		19.90538	56.6547	0.5487	"19.90538,56.6547,0.5487,"	"19.90538,56.6547,548.7,"	
Jiddat al Harasis 663	56218	Valid	L6	1.6	Found	1/1/11 0:00	19.83282	55.6858		19.83282	55.6858	0.0016	"19.83282,55.6858,0.0016,"	"19.83282,55.6858,1.6,"	
Jiddat al Harasis 664	56219	Valid	H5	12175	Found	1/1/11 0:00	19.82562	55.684		19.82562	55.684	12.175	"19.82562,55.684,12.175,"	"19.82562,55.684,12175,"	
Jiddat al Harasis 665	56220	Valid	H5	2637	Found	1/1/11 0:00	19.77842	55.59662		19.77842	55.59662	2.637	"19.77842,55.59662,2.637,"	"19.77842,55.59662,2637,"	
Jiddat al Harasis 666	56221	Valid	H4-6	1015	Found	1/1/11 0:00	19.77022	55.594		19.77022	55.594	1.015	"19.77022,55.594,1.015,"	"19.77022,55.594,1015,"	
Jiddat al Harasis 667	56222	Valid	H4	487.4	Found	1/1/11 0:00	19.78042	55.5979		19.78042	55.5979	0.4874	"19.78042,55.5979,0.4874,"	"19.78042,55.5979,487.4,"	
Jiddat al Harasis 668	56223	Valid	H5	1979	Found	1/1/11 0:00	19.76167	55.59152		19.76167	55.59152	1.979	"19.76167,55.59152,1.979,"	"19.76167,55.59152,1979,"	
Jiddat al Harasis 669	56224	Valid	L6	810.6	Found	1/1/11 0:00	19.71987	55.64522		19.71987	55.64522	0.8106	"19.71987,55.64522,0.8106,"	"19.71987,55.64522,810.6,"	
Jiddat al Harasis 670	56225	Valid	H5	2399	Found	1/1/11 0:00	19.65	55.7194		19.65	55.7194	2.399	"19.65,55.7194,2.399,"	"19.65,55.7194,2399,"	
Jiddat al Harasis 671	56413	Valid	H5	1.82	Found	1/1/11 0:00	19.66005	55.70383		19.66005	55.70383	0.00182	"19.66005,55.70383,0.00182,"	"19.66005,55.70383,1.82,"	
Jiddat al Harasis 672	56226	Valid	H5	4.94	Found	1/1/11 0:00	19.66055	55.70212		19.66055	55.70212	0.00494	"19.66055,55.70212,0.00494,"	"19.66055,55.70212,4.94,"	
Jiddat al Harasis 673	56227	Valid	H5	1.48	Found	1/1/11 0:00	19.66002	55.70155		19.66002	55.70155	0.00148	"19.66002,55.70155,0.00148,"	"19.66002,55.70155,1.48,"	
Jiddat al Harasis 674	56228	Valid	H5	22.6	Found	1/1/11 0:00	19.66163	55.69758		19.66163	55.69758	0.0226	"19.66163,55.69758,0.0226,"	"19.66163,55.69758,22.6,"	
Jiddat al Harasis 675	56229	Valid	H5	19.36	Found	1/1/11 0:00	19.66393	55.69107		19.66393	55.69107	0.01936	"19.66393,55.69107,0.01936,"	"19.66393,55.69107,19.36,"	
Jiddat al Harasis 676	56230	Valid	H5	22.2	Found	1/1/11 0:00	19.66395	55.69107		19.66395	55.69107	0.0222	"19.66395,55.69107,0.0222,"	"19.66395,55.69107,22.2,"	
Jiddat al Harasis 677	56414	Valid	H5	27.1	Found	1/1/11 0:00	19.66465	55.69017		19.66465	55.69017	0.0271	"19.66465,55.69017,0.0271,"	"19.66465,55.69017,27.1,"	
Jiddat al Harasis 678	56231	Valid	H5	16.38	Found	1/1/11 0:00	19.6658	55.6847		19.6658	55.6847	0.01638	"19.6658,55.6847,0.01638,"	"19.6658,55.6847,16.38,"	
Jiddat al Harasis 679	56232	Valid	H5	198.4	Found	1/1/11 0:00	19.66767	55.68198		19.66767	55.68198	0.1984	"19.66767,55.68198,0.1984,"	"19.66767,55.68198,198.4,"	
Jiddat al Harasis 680	56233	Valid	H5	84.1	Found	1/1/11 0:00	19.66892	55.68097		19.66892	55.68097	0.0841	"19.66892,55.68097,0.0841,"	"19.66892,55.68097,84.1,"	
Jiddat al Harasis 681	56234	Valid	H5	26.1	Found	1/1/11 0:00	19.66883	55.68092		19.66883	55.68092	0.0261	"19.66883,55.68092,0.0261,"	"19.66883,55.68092,26.1,"	
Jiddat al Harasis 682	56235	Valid	H5	293.2	Found	1/1/11 0:00	19.74087	55.60467		19.74087	55.60467	0.2932	"19.74087,55.60467,0.2932,"	"19.74087,55.60467,293.2,"	
Jiddat al Harasis 683	56236	Valid	H5	35.3	Found	1/1/11 0:00	19.7548	55.59118		19.7548	55.59118	0.0353	"19.7548,55.59118,0.0352999999999999,"	"19.7548,55.59118,35.2999999999999,"	
Jiddat al Harasis 684	56237	Valid	H5	30.9	Found	1/1/11 0:00	19.74373	55.57045		19.74373	55.57045	0.0309	"19.74373,55.57045,0.0309,"	"19.74373,55.57045,30.9,"	
Jiddat al Harasis 685	56238	Valid	H4	1.51	Found	1/1/11 0:00	19.4996	55.5247		19.4996	55.5247	0.00151	"19.4996,55.5247,0.00151,"	"19.4996,55.5247,1.51,"	
Jiddat al Harasis 686	56239	Valid	H4	148.3	Found	1/1/11 0:00	19.50785	55.51785		19.50785	55.51785	0.1483	"19.50785,55.51785,0.1483,"	"19.50785,55.51785,148.3,"	
Jiddat al Harasis 687	56240	Valid	H4	0.46	Found	1/1/11 0:00	19.50883	55.51805		19.50883	55.51805	0.00046	"19.50883,55.51805,0.00046,"	"19.50883,55.51805,0.46,"	
Jiddat al Harasis 688	56241	Valid	H4	24.4	Found	1/1/11 0:00	19.47695	55.48955		19.47695	55.48955	0.0244	"19.47695,55.48955,0.0244,"	"19.47695,55.48955,24.4,"	
Jiddat al Harasis 689	56242	Valid	H5	11.67	Found	1/1/11 0:00	19.44323	55.46112		19.44323	55.46112	0.01167	"19.44323,55.46112,0.01167,"	"19.44323,55.46112,11.67,"	
Jiddat al Harasis 690	56243	Valid	H6	632.1	Found	1/1/11 0:00	19.4305	55.44352		19.4305	55.44352	0.6321	"19.4305,55.44352,0.6321,"	"19.4305,55.44352,632.1,"	
Jiddat al Harasis 691	56244	Valid	H5	27.6	Found	1/1/11 0:00	19.48505	55.44432		19.48505	55.44432	0.0276	"19.48505,55.44432,0.0276,"	"19.48505,55.44432,27.6,"	
